행정구역,2018년_계_총인구수,2018년_계_연령구간인구수,2018년_계_0~9세,2018년_계_10~19세,2018년_계_20~29세,2018년_계_30~39세,2018년_계_40~49세,2018년_계_50~59세,2018년_계_60~69세,2018년_계_70~79세,2018년_계_80~89세,2018년_계_90~99세,2018년_계_100세 이상,2018년_남_총인구수,2018년_남_연령구간인구수,2018년_남_0~9세,2018년_남_10~19세,2018년_남_20~29세,2018년_남_30~39세,2018년_남_40~49세,2018년_남_50~59세,2018년_남_60~69세,2018년_남_70~79세,2018년_남_80~89세,2018년_남_90~99세,2018년_남_100세 이상,2018년_여_총인구수,2018년_여_연령구간인구수,2018년_여_0~9세,2018년_여_10~19세,2018년_여_20~29세,2018년_여_30~39세,2018년_여_40~49세,2018년_여_50~59세,2018년_여_60~69세,2018년_여_70~79세,2018년_여_80~89세,2018년_여_90~99세,2018년_여_100세 이상,2019년_계_총인구수,2019년_계_연령구간인구수,2019년_계_0~9세,2019년_계_10~19세,2019년_계_20~29세,2019년_계_30~39세,2019년_계_40~49세,2019년_계_50~59세,2019년_계_60~69세,2019년_계_70~79세,2019년_계_80~89세,2019년_계_90~99세,2019년_계_100세 이상,2019년_남_총인구수,2019년_남_연령구간인구수,2019년_남_0~9세,2019년_남_10~19세,2019년_남_20~29세,2019년_남_30~39세,2019년_남_40~49세,2019년_남_50~59세,2019년_남_60~69세,2019년_남_70~79세,2019년_남_80~89세,2019년_남_90~99세,2019년_남_100세 이상,2019년_여_총인구수,2019년_여_연령구간인구수,2019년_여_0~9세,2019년_여_10~19세,2019년_여_20~29세,2019년_여_30~39세,2019년_여_40~49세,2019년_여_50~59세,2019년_여_60~69세,2019년_여_70~79세,2019년_여_80~89세,2019년_여_90~99세,2019년_여_100세 이상,2020년_계_총인구수,2020년_계_연령구간인구수,2020년_계_0~9세,2020년_계_10~19세,2020년_계_20~29세,2020년_계_30~39세,2020년_계_40~49세,2020년_계_50~59세,2020년_계_60~69세,2020년_계_70~79세,2020년_계_80~89세,2020년_계_90~99세,2020년_계_100세 이상,2020년_남_총인구수,2020년_남_연령구간인구수,2020년_남_0~9세,2020년_남_10~19세,2020년_남_20~29세,2020년_남_30~39세,2020년_남_40~49세,2020년_남_50~59세,2020년_남_60~69세,2020년_남_70~79세,2020년_남_80~89세,2020년_남_90~99세,2020년_남_100세 이상,2020년_여_총인구수,2020년_여_연령구간인구수,2020년_여_0~9세,2020년_여_10~19세,2020년_여_20~29세,2020년_여_30~39세,2020년_여_40~49세,2020년_여_50~59세,2020년_여_60~69세,2020년_여_70~79세,2020년_여_80~89세,2020년_여_90~99세,2020년_여_100세 이상
전국  (0000000000),"51,826,059","51,826,059","4,303,062","5,131,153","6,823,973","7,270,143","8,488,587","8,615,884","5,949,639","3,497,936","1,516,992","209,907","18,783","25,866,129","25,866,129","2,208,857","2,662,198","3,591,833","3,723,573","4,316,614","4,339,203","2,907,138","1,549,636","515,449","47,301","4,327","25,959,930","25,959,930","2,094,205","2,468,955","3,232,140","3,546,570","4,171,973","4,276,681","3,042,501","1,948,300","1,001,543","162,606","14,456","51,849,861","51,849,861","4,166,914","4,959,010","6,810,356","7,071,024","8,383,230","8,667,377","6,310,651","3,596,044","1,633,336","231,759","20,160","25,864,816","25,864,816","2,138,215","2,568,963","3,582,927","3,631,290","4,260,978","4,366,687","3,085,712","1,607,050","565,417","52,747","4,830","25,985,045","25,985,045","2,028,699","2,390,047","3,227,429","3,439,734","4,122,252","4,300,690","3,224,939","1,988,994","1,067,919","179,012","15,330","51,829,023","51,829,023","3,970,070","4,793,336","6,806,153","6,873,117","8,294,787","8,645,014","6,744,506","3,698,246","1,729,422","252,460","21,912","25,841,029","25,841,029","2,035,712","2,478,773","3,573,667","3,541,548","4,214,971","4,362,544","3,298,604","1,664,340","608,461","57,058","5,351","25,987,994","25,987,994","1,934,358","2,314,563","3,232,486","3,331,569","4,079,816","4,282,470","3,445,902","2,033,906","1,120,961","195,402","16,561"
서울특별시  (1100000000),"9,765,623","9,765,623","690,368","855,121","1,449,790","1,548,770","1,590,374","1,546,954","1,142,415","660,825","238,869","36,294","5,843","4,773,899","4,773,899","353,981","440,320","716,197","774,185","789,945","756,599","540,814","301,846","89,309","9,253","1,450","4,991,724","4,991,724","336,387","414,801","733,593","774,585","800,429","790,355","601,601","358,979","149,560","27,041","4,393","9,729,107","9,729,107","662,693","819,571","1,456,623","1,509,959","1,560,983","1,539,968","1,189,802","684,087","259,487","39,690","6,244","4,744,059","4,744,059","340,334","421,339","713,660","754,830","773,528","754,442","562,796","311,890","99,231","10,413","1,596","4,985,048","4,985,048","322,359","398,232","742,963","755,129","787,455","785,526","627,006","372,197","160,256","29,277","4,648","9,668,465","9,668,465","623,745","781,866","1,460,411","1,475,106","1,528,182","1,523,556","1,243,954","704,076","278,094","42,683","6,792","4,701,723","4,701,723","320,275","401,285","707,669","737,901","756,950","748,582","587,294","320,416","108,339","11,221","1,791","4,966,742","4,966,742","303,470","380,581","752,742","737,205","771,232","774,974","656,660","383,660","169,755","31,462","5,001"
부산광역시  (2600000000),"3,441,453","3,441,453","251,442","296,145","444,737","454,711","527,047","593,189","488,127","272,992","98,675","12,723","1,665","1,692,421","1,692,421","129,189","153,988","233,755","232,045","264,732","286,694","232,593","122,330","34,037","2,709",349,"1,749,032","1,749,032","122,253","142,157","210,982","222,666","262,315","306,495","255,534","150,662","64,638","10,014","1,316","3,413,841","3,413,841","243,321","283,240","436,149","435,710","517,782","583,099","507,247","284,110","107,326","14,067","1,790","1,675,417","1,675,417","124,927","146,787","228,729","222,456","260,329","282,121","241,026","127,675","37,883","3,095",389,"1,738,424","1,738,424","118,394","136,453","207,420","213,254","257,453","300,978","266,221","156,435","69,443","10,972","1,401","3,391,946","3,391,946","232,356","272,014","430,987","419,014","511,148","568,913","531,620","293,299","115,680","15,028","1,887","1,661,000","1,661,000","119,173","140,558","224,517","214,297","257,288","276,068","251,584","132,206","41,604","3,285",420,"1,730,946","1,730,946","113,183","131,456","206,470","204,717","253,860","292,845","280,036","161,093","74,076","11,743","1,467"
대구광역시  (2700000000),"2,461,769","2,461,769","194,953","249,672","330,845","317,978","404,270","431,143","292,750","164,586","67,069","7,875",628,"1,219,342","1,219,342","99,981","131,186","179,001","162,884","199,424","211,453","139,864","70,859","22,807","1,738",145,"1,242,427","1,242,427","94,972","118,486","151,844","155,094","204,846","219,690","152,886","93,727","44,262","6,137",483,"2,438,031","2,438,031","188,312","237,198","323,641","305,986","393,387","428,249","308,797","170,112","73,058","8,613",678,"1,205,286","1,205,286","96,593","124,289","174,194","157,920","194,076","209,676","147,322","73,829","25,304","1,925",158,"1,232,745","1,232,745","91,719","112,909","149,447","148,066","199,311","218,573","161,475","96,283","47,754","6,688",520,"2,418,346","2,418,346","178,226","225,898","321,534","294,310","383,839","425,479","325,957","175,276","77,665","9,429",733,"1,193,109","1,193,109","91,285","118,103","171,675","153,070","189,358","208,340","155,170","76,599","27,260","2,073",176,"1,225,237","1,225,237","86,941","107,795","149,859","141,240","194,481","217,139","170,787","98,677","50,405","7,356",557
인천광역시  (2800000000),"2,954,642","2,954,642","251,301","292,324","409,794","433,669","494,723","514,229","315,032","164,392","68,151","10,201",826,"1,481,844","1,481,844","128,889","150,678","214,091","223,441","251,781","258,066","156,382","73,470","22,521","2,329",196,"1,472,798","1,472,798","122,412","141,646","195,703","210,228","242,942","256,163","158,650","90,922","45,630","7,872",630,"2,957,026","2,957,026","242,400","283,251","407,608","421,189","489,961","516,594","339,270","171,138","73,339","11,393",883,"1,482,249","1,482,249","124,383","145,798","213,116","217,146","250,143","258,399","168,422","77,256","24,807","2,548",231,"1,474,777","1,474,777","118,017","137,453","194,492","204,043","239,818","258,195","170,848","93,882","48,532","8,845",652,"2,942,828","2,942,828","228,634","274,162","401,546","406,146","483,977","512,167","367,879","177,503","77,504","12,341",969,"1,473,943","1,473,943","117,356","141,025","209,363","210,025","247,402","256,037","182,261","80,868","26,682","2,665",259,"1,468,885","1,468,885","111,278","133,137","192,183","196,121","236,575","256,130","185,618","96,635","50,822","9,676",710
광주광역시  (2900000000),"1,459,336","1,459,336","131,277","171,887","205,743","200,420","246,391","231,284","145,281","87,000","34,920","4,762",371,"722,581","722,581","67,673","89,182","107,730","101,066","122,452","114,276","69,143","38,267","11,778",973,41,"736,755","736,755","63,604","82,705","98,013","99,354","123,939","117,008","76,138","48,733","23,142","3,789",330,"1,456,468","1,456,468","126,519","164,431","207,448","192,943","244,566","233,280","153,369","90,695","37,474","5,344",399,"720,740","720,740","65,084","85,378","108,393","97,812","121,383","115,453","73,079","39,981","12,971","1,157",49,"735,728","735,728","61,435","79,053","99,055","95,131","123,183","117,827","80,290","50,714","24,503","4,187",350,"1,450,062","1,450,062","119,692","157,144","209,375","185,867","240,867","233,822","163,784","93,541","39,671","5,875",424,"717,348","717,348","61,487","81,458","109,335","94,869","119,545","115,860","78,051","41,434","13,995","1,259",55,"732,714","732,714","58,205","75,686","100,040","90,998","121,322","117,962","85,733","52,107","25,676","4,616",369
대전광역시  (3000000000),"1,489,936","1,489,936","128,497","160,537","213,955","209,040","249,652","242,983","159,155","84,756","36,054","4,988",319,"744,338","744,338","66,139","83,378","112,938","107,185","124,552","120,596","77,828","37,954","12,507","1,188",73,"745,598","745,598","62,358","77,159","101,017","101,855","125,100","122,387","81,327","46,802","23,547","3,800",246,"1,474,870","1,474,870","121,829","153,179","212,629","200,480","242,481","243,869","168,307","87,513","38,853","5,397",333,"736,607","736,607","62,600","79,438","112,059","103,621","121,088","121,187","82,057","39,482","13,756","1,238",81,"738,263","738,263","59,229","73,741","100,570","96,859","121,393","122,682","86,250","48,031","25,097","4,159",252,"1,463,882","1,463,882","114,529","146,436","212,488","194,088","237,216","241,921","179,153","91,320","40,519","5,841",371,"730,699","730,699","58,822","75,777","111,421","101,293","118,238","120,638","87,060","41,509","14,485","1,367",89,"733,183","733,183","55,707","70,659","101,067","92,795","118,978","121,283","92,093","49,811","26,034","4,474",282
울산광역시  (3100000000),"1,155,623","1,155,623","108,363","121,540","153,359","166,208","194,425","210,492","124,918","53,882","19,654","2,624",158,"593,819","593,819","55,907","64,182","85,599","87,270","98,205","107,974","63,245","24,983","6,011",411,32,"561,804","561,804","52,456","57,358","67,760","78,938","96,220","102,518","61,673","28,899","13,643","2,213",126,"1,148,019","1,148,019","104,371","116,733","149,137","159,743","190,771","211,359","134,651","56,946","21,222","2,928",158,"589,712","589,712","53,757","61,537","83,553","84,210","96,712","107,891","68,074","26,701","6,780",466,31,"558,307","558,307","50,614","55,196","65,584","75,533","94,059","103,468","66,577","30,245","14,442","2,462",127,"1,136,017","1,136,017","98,506","112,420","144,569","151,705","187,808","209,521","145,347","60,168","22,712","3,086",175,"583,708","583,708","50,619","59,174","81,200","80,565","95,644","106,610","73,250","28,575","7,503",533,35,"552,309","552,309","47,887","53,246","63,369","71,140","92,164","102,911","72,097","31,593","15,209","2,553",140
세종특별자치시  (3600000000),"314,126","314,126","44,452","36,695","34,031","58,381","58,247","38,373","24,261","12,533","6,208",891,54,"156,831","156,831","22,778","18,397","17,283","28,358","30,385","19,838","11,948","5,603","2,030",204,7,"157,295","157,295","21,674","18,298","16,748","30,023","27,862","18,535","12,313","6,930","4,178",687,47,"340,575","340,575","47,249","40,037","36,340","61,464","64,472","42,480","27,208","13,445","6,764","1,063",53,"169,845","169,845","24,152","20,094","18,357","29,984","33,224","21,980","13,479","6,078","2,249",239,9,"170,730","170,730","23,097","19,943","17,983","31,480","31,248","20,500","13,729","7,367","4,515",824,44,"355,831","355,831","47,283","42,677","37,453","61,492","68,831","45,205","30,139","14,392","7,109","1,200",50,"177,568","177,568","24,188","21,419","19,050","30,004","35,188","23,494","14,935","6,602","2,415",263,10,"178,263","178,263","23,095","21,258","18,403","31,488","33,643","21,711","15,204","7,790","4,694",937,40
경기도  (4100000000),"13,077,153","13,077,153","1,209,856","1,384,896","1,749,054","1,949,571","2,291,231","2,145,977","1,289,902","710,464","299,824","42,776","3,602","6,577,501","6,577,501","620,423","714,370","917,804","996,212","1,163,422","1,091,730","638,843","318,110","105,476","10,199",912,"6,499,652","6,499,652","589,433","670,526","831,250","953,359","1,127,809","1,054,247","651,059","392,354","194,348","32,577","2,690","13,239,666","13,239,666","1,184,990","1,355,462","1,770,695","1,925,827","2,290,198","2,198,828","1,399,372","737,272","325,340","47,768","3,914","6,659,995","6,659,995","607,414","698,188","931,439","988,359","1,163,371","1,115,137","694,626","332,647","116,360","11,422","1,032","6,579,671","6,579,671","577,576","657,274","839,256","937,468","1,126,827","1,083,691","704,746","404,625","208,980","36,346","2,882","13,427,014","13,427,014","1,145,984","1,328,214","1,807,848","1,907,459","2,299,423","2,234,920","1,532,434","765,815","348,213","52,389","4,315","6,754,469","6,754,469","586,787","682,846","951,737","982,843","1,168,836","1,132,305","761,522","347,382","126,549","12,505","1,157","6,672,545","6,672,545","559,197","645,368","856,111","924,616","1,130,587","1,102,615","770,912","418,433","221,664","39,884","3,158"
