"행정구역","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~9세","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_0~9세","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_0~9세","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~9세","2019년_남_총인구수","2019년_남_연령구간인구수","2019년_남_0~9세","2019년_여_총인구수","2019년_여_연령구간인구수","2019년_여_0~9세","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~9세","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~9세"
"서울특별시  (1100000000)","9,765,623","690,368","690,368","4,773,899","353,981","353,981","4,991,724","336,387","336,387","9,729,107","662,693","662,693","4,744,059","340,334","340,334","4,985,048","322,359","322,359","9,668,465","623,745","623,745","4,701,723","320,275","320,275","4,966,742","303,470","303,470"
"서울특별시 종로구 (1111000000)","153,065","8,588","8,588","74,825","4,380","4,380","78,240","4,208","4,208","151,290","8,211","8,211","73,746","4,143","4,143","77,544","4,068","4,068","149,384","7,527","7,527","72,635","3,803","3,803","76,749","3,724","3,724"
"서울특별시 중구 (1114000000)","125,725","7,597","7,597","61,947","3,806","3,806","63,778","3,791","3,791","126,171","7,389","7,389","61,910","3,758","3,758","64,261","3,631","3,631","125,240","6,836","6,836","61,222","3,505","3,505","64,018","3,331","3,331"
"서울특별시 용산구 (1117000000)","228,999","14,706","14,706","110,640","7,601","7,601","118,359","7,105","7,105","228,670","14,132","14,132","110,356","7,310","7,310","118,314","6,822","6,822","230,040","13,496","13,496","110,722","6,970","6,970","119,318","6,526","6,526"
"서울특별시 성동구 (1120000000)","308,221","23,077","23,077","151,359","11,749","11,749","156,862","11,328","11,328","300,889","21,983","21,983","147,273","11,226","11,226","153,616","10,757","10,757","293,556","20,449","20,449","143,387","10,469","10,469","150,169","9,980","9,980"
"서울특별시 광진구 (1121500000)","355,559","23,182","23,182","172,794","11,914","11,914","182,765","11,268","11,268","351,350","21,657","21,657","170,262","11,115","11,115","181,088","10,542","10,542","346,682","19,572","19,572","167,310","9,977","9,977","179,372","9,595","9,595"
"서울특별시 동대문구 (1123000000)","348,052","22,896","22,896","173,567","11,792","11,792","174,485","11,104","11,104","346,194","22,115","22,115","172,113","11,361","11,361","174,081","10,754","10,754","342,837","20,788","20,788","169,769","10,662","10,662","173,068","10,126","10,126"
"서울특별시 중랑구 (1126000000)","403,209","26,293","26,293","200,419","13,448","13,448","202,790","12,845","12,845","397,015","24,712","24,712","196,959","12,733","12,733","200,056","11,979","11,979","394,702","23,064","23,064","195,165","11,921","11,921","199,537","11,143","11,143"
"서울특별시 성북구 (1129000000)","435,868","31,323","31,323","211,904","16,071","16,071","223,964","15,252","15,252","442,650","30,994","30,994","214,437","15,859","15,859","228,213","15,135","15,135","437,153","28,822","28,822","210,810","14,723","14,723","226,343","14,099","14,099"
"서울특별시 강북구 (1130500000)","319,164","18,921","18,921","156,071","9,728","9,728","163,093","9,193","9,193","313,954","17,420","17,420","153,235","8,960","8,960","160,719","8,460","8,460","308,055","15,714","15,714","150,143","8,162","8,162","157,912","7,552","7,552"
"서울특별시 도봉구 (1132000000)","339,413","22,184","22,184","166,160","11,446","11,446","173,253","10,738","10,738","333,362","20,665","20,665","163,051","10,685","10,685","170,311","9,980","9,980","325,257","18,775","18,775","158,620","9,720","9,720","166,637","9,055","9,055"
"서울특별시 노원구 (1135000000)","543,752","38,147","38,147","263,919","19,618","19,618","279,833","18,529","18,529","532,905","35,765","35,765","257,923","18,411","18,411","274,982","17,354","17,354","523,037","33,182","33,182","252,383","17,046","17,046","270,654","16,136","16,136"
"서울특별시 은평구 (1138000000)","483,197","33,399","33,399","233,702","17,123","17,123","249,495","16,276","16,276","480,032","31,683","31,683","231,528","16,220","16,220","248,504","15,463","15,463","479,835","29,704","29,704","230,279","15,210","15,210","249,556","14,494","14,494"
"서울특별시 서대문구 (1141000000)","310,313","21,180","21,180","149,569","10,806","10,806","160,744","10,374","10,374","309,397","20,395","20,395","148,663","10,468","10,468","160,734","9,927","9,927","312,173","20,175","20,175","149,360","10,267","10,267","162,813","9,908","9,908"
"서울특별시 마포구 (1144000000)","375,077","27,746","27,746","178,240","14,103","14,103","196,837","13,643","13,643","374,035","26,560","26,560","176,891","13,479","13,479","197,144","13,081","13,081","371,890","24,899","24,899","175,150","12,643","12,643","196,740","12,256","12,256"
"서울특별시 양천구 (1147000000)","464,185","34,792","34,792","228,634","17,802","17,802","235,551","16,990","16,990","458,165","33,156","33,156","225,186","17,069","17,069","232,979","16,087","16,087","454,251","31,552","31,552","222,824","16,235","16,235","231,427","15,317","15,317"
"서울특별시 강서구 (1150000000)","596,949","46,680","46,680","290,079","23,855","23,855","306,870","22,825","22,825","591,796","43,968","43,968","286,563","22,477","22,477","305,233","21,491","21,491","580,185","39,560","39,560","280,034","20,222","20,222","300,151","19,338","19,338"
"서울특별시 구로구 (1153000000)","404,497","31,394","31,394","200,417","15,941","15,941","204,080","15,453","15,453","406,664","30,501","30,501","200,987","15,563","15,563","205,677","14,938","14,938","404,408","28,199","28,199","199,673","14,406","14,406","204,735","13,793","13,793"
"서울특별시 금천구 (1154500000)","233,917","14,657","14,657","118,915","7,485","7,485","115,002","7,172","7,172","232,810","13,746","13,746","118,209","7,047","7,047","114,601","6,699","6,699","231,733","12,548","12,548","117,226","6,422","6,422","114,507","6,126","6,126"
"서울특별시 영등포구 (1156000000)","367,778","26,289","26,289","183,224","13,391","13,391","184,554","12,898","12,898","367,678","25,447","25,447","182,438","12,913","12,913","185,240","12,534","12,534","379,480","25,836","25,836","187,647","13,165","13,165","191,833","12,671","12,671"
"서울특별시 동작구 (1159000000)","396,203","27,883","27,883","192,533","14,180","14,180","203,670","13,703","13,703","395,963","26,596","26,596","191,976","13,542","13,542","203,987","13,054","13,054","391,220","24,564","24,564","189,152","12,528","12,528","202,068","12,036","12,036"
"서울특별시 관악구 (1162000000)","501,957","27,165","27,165","252,160","14,009","14,009","249,797","13,156","13,156","500,094","25,097","25,097","251,009","12,921","12,921","249,085","12,176","12,176","495,060","22,372","22,372","248,339","11,499","11,499","246,721","10,873","10,873"
"서울특별시 서초구 (1165000000)","433,951","37,467","37,467","207,868","19,275","19,275","226,083","18,192","18,192","430,826","36,001","36,001","206,039","18,623","18,623","224,787","17,378","17,378","425,126","33,851","33,851","203,359","17,490","17,490","221,767","16,361","16,361"
"서울특별시 강남구 (1168000000)","542,364","39,242","39,242","259,611","20,233","20,233","282,753","19,009","19,009","545,169","38,704","38,704","260,806","20,019","20,019","284,363","18,685","18,685","539,231","36,766","36,766","257,999","19,051","19,051","281,232","17,715","17,715"
"서울특별시 송파구 (1171000000)","666,635","53,769","53,769","323,526","27,739","27,739","343,109","26,030","26,030","675,961","53,634","53,634","327,164","27,712","27,712","348,797","25,922","25,922","667,960","50,744","50,744","322,299","26,202","26,202","345,661","24,542","24,542"
"서울특별시 강동구 (1174000000)","427,573","31,791","31,791","211,816","16,486","16,486","215,757","15,305","15,305","436,067","32,162","32,162","215,335","16,720","16,720","220,732","15,442","15,442","459,970","34,750","34,750","226,216","17,977","17,977","233,754","16,773","16,773"
"부산광역시  (2600000000)","3,441,453","251,442","251,442","1,692,421","129,189","129,189","1,749,032","122,253","122,253","3,413,841","243,321","243,321","1,675,417","124,927","124,927","1,738,424","118,394","118,394","3,391,946","232,356","232,356","1,661,000","119,173","119,173","1,730,946","113,183","113,183"
"부산광역시 중구 (2611000000)","42,795","1,699","1,699","20,992","887","887","21,803","812","812","41,910","1,495","1,495","20,557","785","785","21,353","710","710","41,523","1,320","1,320","20,282","689","689","21,241","631","631"
"부산광역시 서구 (2614000000)","110,534","6,034","6,034","53,978","3,173","3,173","56,556","2,861","2,861","108,229","5,743","5,743","52,627","2,993","2,993","55,602","2,750","2,750","108,135","5,622","5,622","52,341","2,917","2,917","55,794","2,705","2,705"
"부산광역시 동구 (2617000000)","86,912","4,083","4,083","42,830","2,132","2,132","44,082","1,951","1,951","88,165","4,164","4,164","43,327","2,179","2,179","44,838","1,985","1,985","88,901","4,085","4,085","43,509","2,149","2,149","45,392","1,936","1,936"
