사용일,라인,역명,승차,하차
20210701,1호선,서울역,41854,40070
20210701,1호선,동묘앞,8097,8459
20210701,1호선,시청,21905,22301
20210701,1호선,종각,36208,35430
20210701,1호선,종로3가,25002,22518
20210701,1호선,종로5가,22764,22786
20210701,1호선,동대문,11181,10597
20210701,1호선,신설동,14121,13751
20210701,1호선,제기동,17207,17555
20210701,1호선,청량리(서울시립대입구),19832,19926
20210701,2호선,시청,24167,23336
20210701,2호선,을지로입구,39394,40720
20210701,2호선,을지로3가,22911,22951
20210701,2호선,을지로4가,13317,13023
20210701,2호선,동대문역사문화공원(DDP),12284,13737
20210701,2호선,신당,13871,14532
20210701,2호선,상왕십리,14415,13996
20210701,2호선,왕십리(성동구청),15918,13025
20210701,2호선,한양대,6981,7560
20210701,2호선,뚝섬,23315,24919
20210701,2호선,성수,37893,41990
20210701,2호선,건대입구,34550,37065
20210701,2호선,구의(광진구청),23732,23432
20210701,2호선,강변(동서울터미널),30088,29105
20210701,2호선,잠실나루,14986,14727
20210701,2호선,잠실(송파구청),67407,67368
20210701,2호선,잠실새내,21210,21361
20210701,2호선,종합운동장,8541,9141
20210701,2호선,삼성(무역센터),53029,54447
20210701,2호선,선릉,58364,51940
20210701,2호선,역삼,52041,58598
20210701,2호선,강남,85943,84421
20210701,2호선,교대(법원.검찰청),34908,39604
20210701,2호선,서초,22082,21769
20210701,2호선,방배,16541,17440
20210701,2호선,사당,36364,39672
20210701,2호선,낙성대(강감찬),28061,26884
20210701,2호선,서울대입구(관악구청),48042,47010
20210701,2호선,봉천,24474,22552
20210701,2호선,신림,62954,60938
20210701,2호선,신대방,26855,25955
20210701,2호선,구로디지털단지,62712,63054
20210701,2호선,대림(구로구청),24215,24702
20210701,2호선,신도림,49225,48215
20210701,2호선,문래,22525,23121
20210701,2호선,영등포구청,23593,23862
20210701,2호선,당산,19528,22734
20210701,2호선,합정,30718,32126
20210701,2호선,홍대입구,48220,49524
20210701,2호선,신촌,32487,33341
20210701,2호선,이대,12827,13103
20210701,2호선,아현,10589,10134
20210701,2호선,충정로(경기대입구),10170,10849
20210701,2호선,용답,2662,2606
20210701,2호선,신답,1649,1898
20210701,2호선,신설동,3238,3221
20210701,2호선,도림천,1583,1584
20210701,2호선,양천구청,6975,7424
20210701,2호선,신정네거리,10522,10873
20210701,2호선,용두(동대문구청),2417,2487
20210701,3호선,지축,4368,4207
20210701,3호선,구파발,21279,20162
20210701,3호선,연신내,37574,35327
20210701,3호선,불광,16527,17609
20210701,3호선,녹번,15553,14222
20210701,3호선,홍제,17245,16217
20210701,3호선,무악재,4036,3947
20210701,3호선,독립문,7278,7552
20210701,3호선,경복궁(정부서울청사),20417,20223
20210701,3호선,안국,20545,21354
20210701,3호선,종로3가,10177,11729
20210701,3호선,을지로3가,10838,11321
20210701,3호선,동대입구,7515,7756
