시작일,종료일,행사명,행사주소,연락처,위도,경도
20210306,20211030,가무악극으로 만나는 토요 상설공연,충청남도 부여군 규암면 백제문로 388,041-832-5765,36.3048428766,126.8997016069
20210320,20210630,가산수피아 '봄의 정원',경상북도 칠곡군 가산면 학하들안2길 105,054-971-9861,36.0861545517,128.4850691574
20210116,20211231,가족끼리 빙어체험 2021,경기도 양평군 단월면 곱다니길 55-2 수미마을 방문객센터,031-775-5205,37.5145504080,127.6574135888
20210301,20210606,가족끼리딸기 캠피닉,경기도 양평군 단월면 곱다니길 55-2,031-775-5205,37.5144948588,127.6573663730
20210225,20210228,가족오페라 <마술피리> 2021,대구광역시 북구 호암로 15,053-666-6170,35.8835072863,128.5922570230
20201017,20201017,"강동구 청소년 민주주의 축제 ""놀면 뭐하니? 한 번 더 민주!"" 2020",온라인개최,-,,
20200921,20200927,강동북페스티벌2020,온라인개최,"강일 427-4004, 성내 471-0044, 해공 478-9656, 암사 429-0476, 천호 488-7223",37.5512675743,127.1573829418
20201005,20201011,강동선사문화축제 2020,온라인개최,02-3425-5245,,
20210610,20210617,강릉 단오제,강원도 강릉시 단오장길 1,033-641-1593,37.7482134974,128.8950169869
20201112,20201114,강릉 문화재야행 2020,강원도 강릉시 임영로131번길 6,033-823-3213,37.7532267491,128.8920698750
20201105,20201107,강릉국제영화제(GIFF) 2020,강원도 강릉시 경강로 2120,033-647-6807,37.7557293666,128.8986969781
20210806,20210808,강원그린박람회,강원도 춘천시 평화로 26,033-260-9320,37.8813589518,127.7184944906
20201008,20201013,강진청자축제 2020,전라남도 강진군 대구면 청자촌길 33,061-430-3352,34.5075226164,126.8011114048
20201117,20201122,강화 문화재 야행 2020,온라인개최,032-930-3569,37.7487881453,126.4855748369
20201117,20201117,개천절 대제전 2020,서울특별시 종로구 인왕산로 22,02-736-6375,37.5758807095,126.9657719166
20201031,20201108,거제섬꽃축제 2020,경상남도 거제시 거제면 거제남서로 3577,055-639-6443,34.8565698127,128.5795665696
20201213,20210214,거창 크리스마스트리문화축제 2021,경상남도 거창군 거창읍 중앙로 103,070-8809-9182,35.6866949586,127.9095393091
20210730,20210807,거창국제연극제,경상남도 거창군 위천면 은하리길 98-11,055-940-8460,35.7618433910,127.8319274874
20201114,20201120,건강서울페스티벌 2020,온라인개최,070-7575-2351~2,37.4826644710,127.0053765000
20210129,20210131,겨울공주 온라인 군밤축제 2021,온라인개최,041-840-8111,36.4666363013,127.1075869625
20201009,20201009,경기 다독다독 온라인 축제 2020,온라인개최,02-502-5953,,
20210807,20210911,경기인형극제 in Suwon,경기도 수원시 권선구 서둔로 166,070-4681-0675,37.2668308007,126.9850066316
20210520,20210522,경기정원문화박람회,경기도 의왕시 왕송못동로 307,070-7411-2022,37.3071811142,126.9531611746
20210701,20210710,경남 고성 옥수수축제,경상남도 고성군 동해면 봉암3길 5,055-672-5155,35.0096327799,128.3993560025
20211001,20211107,경남고성공룡세계엑스포,경상남도 고성군 회화면 당항만로 1116,055)670-3816,35.0581190364,128.4007962584
20210506,20210527,경복궁 별빛야행,서울특별시 종로구 사직로 161,02-3210-4806,37.5788944508,126.9770319156
20210415,20210630,경복궁 생과방,서울특별시 종로구 사직로 161 경복궁,"02-3210-4807, 02-3210-3506",37.5788944508,126.9770319156
20210501,20210529,경복궁 시식공감,서울특별시 종로구 사직로 161,02-3210-4806,37.5816246501,126.9748959222
20210401,20210530,경복궁 야간 특별관람,서울특별시 종로구 사직로 161,02-3700-3900~1,37.5816246501,126.9748959222
20201109,20201113,경북사과 온라인 홍보행사 2020,온라인개최,"053-743-2882~5, 053-961-8969",,
20201009,20201018,경북영주 풍기인삼축제 2020,온라인개최,054-635-0020,36.8719154882,128.5167077783
20210612,20210614,경산자인단오제,경상북도 경산시 자인면 계정길 68,053-856-5765,35.8182688829,128.8200110253
20210316,20210327,경상남도연극제,경상남도 통영시 남망공원길 29,055-746-7413,34.8423603636,128.4286550814
20201030,20201101,경주 문화재야행 2020,경북 경주시 교동 71,054-779-6102,35.8314720272,129.2157786981
20201030,20201101,계룡산 산신제 2020,충청남도 공주시 계룡면 양화리 165번지,010-5807-4344,36.3336333187,127.1771648605
20200816,20200816,계촌마을 클래식 거리축제 2020,강원도 평창군 방림면 계촌길 63,02-966-6566,37.4530112700,128.3039208605
20210612,20210627,"고궁음악회「고궁의 숲, 무용을 만나다」",서울특별시 종로구 창경궁로 185,02-2270-1132,37.5776087901,126.9938137563
20201120,20210214,고니골빛축제 2021,강원도 원주시 호저면 호저로 1277-43,033-732-9586,37.4800230785,127.9154662381
20201030,20201031,고령 대가야 문화재 야행 2020,경상북도 고령군 대가야읍 대가야로 1216,054-954-2347,35.7201252528,128.2596991686
20201108,20201115,고마나루 전국 향토연극제 2020,충청남도 공주시 고마나루길 5,041-855-7519,36.4600121262,127.1112756996
20210918,20211003,고양가을꽃축제 2021,경기도 고양시 일산동구 호수로 595,031-908-7750~2,37.6538792239,126.7686654803
20200922,20200926,고양국제무용제 2020,경기도 고양시 일산동구 중앙로 1286,010-7794-5101,37.6612006889,126.7740064529
20201230,20210228,고양시 트리니팅 프로젝트 2021,경기도 고양시 일산동구 중앙로 1271-1,031-8075-3003 / 3004,37.6595397482,126.7727121731
20210903,20211010,고양호수예술축제,경기도 고양시 일산동구 호수로 595,031-960-9684,37.6538792239,126.7686654803
20210528,20210711,고창 라벤더 축제,전라북도 고창군 공음면 청천길 41-27,063-561-6907,35.3736427850,126.5350719884
20210618,20210622,고창 복분자와 수박축제,전라북도 고창군 고창읍 녹두로 1265,063-560-2531,35.4347661324,126.6841072139
20200918,20201101,고창 핑크뮬리 축제 2020,전라북도 고창군 부안면 복분자로 307,010-4500-3993,35.5027352266,126.6264384089
20200808,20200823,고한 함백산 야생화축제 2020,강원도 정선군 고한읍 고한6길 15-2,033-592-5455,37.2006452900,128.8544539785
20201019,20201109,공연관광 온라인 쇼케이스 < K-Performance On Air > 2020,온라인개최,070-4367-0559,,
20201030,20201101,공주 문화재야행 2020,충청남도 공주시 제민천길 일원,041-840-8204,36.4544351759,127.1219804447
20201019,20201120,관광산업 일자리박람회 2020,온라인개최,02-2486-9295~6,37.5117148467,127.0594429796
20211014,20211017,관악강감찬축제,서울특별시 관악구,02) 828-5763,37.4782084678,126.9514981970
20200807,20200815,광명가족극장 2020,경기도 광명시 시청로 20,02-2621-8853,37.4786040931,126.8646172095
