기준일,지역명,당일확진자,지역확진,해외확진,누적확진자
2021-06-30,합계,761,711,50,157723
2021-06-30,검역,31,0,31,4247
2021-06-30,제주,1,1,0,1265
2021-06-30,경남,10,10,0,5257
2021-06-30,경북,5,4,1,4954
2021-06-30,전남,5,5,0,1653
2021-06-30,전북,7,7,0,2371
2021-06-30,충남,15,13,2,3819
2021-06-30,충북,4,4,0,3310
2021-06-30,서울,333,331,2,50321
2021-06-30,경기,249,245,4,44308
2021-06-30,부산,18,17,1,6239
2021-06-30,대구,7,7,0,10605
2021-06-30,인천,36,30,6,6803
2021-06-30,강원,10,8,2,3569
2021-06-30,대전,16,16,0,2667
2021-06-30,울산,2,1,1,2826
2021-06-30,세종,5,5,0,565
2021-06-30,광주,7,7,0,2944
2021-07-01,충남,27,27,0,3846
2021-07-01,검역,33,0,33,4280
2021-07-01,제주,3,3,0,1268
2021-07-01,경남,13,12,1,5270
2021-07-01,경북,7,7,0,4961
2021-07-01,전남,4,4,0,1657
2021-07-01,전북,7,7,0,2378
2021-07-01,충북,7,7,0,3317
2021-07-01,강원,14,7,7,3583
2021-07-01,합계,826,765,61,158548
2021-07-01,세종,2,2,0,567
2021-07-01,울산,11,10,1,2837
2021-07-01,대전,25,25,0,2692
2021-07-01,광주,2,2,0,2946
2021-07-01,인천,22,22,0,6825
2021-07-01,대구,9,8,1,10614
2021-07-01,부산,29,25,4,6268
2021-07-01,서울,347,337,10,50667
2021-07-01,경기,264,260,4,44572
2021-07-02,충남,16,16,0,3862
2021-07-02,전북,4,4,0,2382
2021-07-02,전남,7,6,1,1664
2021-07-02,충북,6,5,1,3323
2021-07-02,경남,10,8,2,5280
2021-07-02,제주,4,4,0,1272
2021-07-02,검역,23,0,23,4303
2021-07-02,경북,4,3,1,4965
2021-07-02,강원,11,11,0,3594
2021-07-02,합계,794,748,46,159342
2021-07-02,세종,3,3,0,570
2021-07-02,울산,1,0,1,2838
2021-07-02,대전,28,28,0,2720
2021-07-02,광주,3,3,0,2949
2021-07-02,인천,16,14,2,6841
2021-07-02,대구,8,8,0,10622
2021-07-02,부산,39,35,4,6307
2021-07-02,서울,359,353,6,51026
2021-07-02,경기,252,247,5,44824
2021-07-03,충남,7,7,0,3869
2021-07-03,전북,3,2,1,2385
2021-07-03,전남,0,0,0,1664
2021-07-03,검역,50,0,50,4353
2021-07-03,경남,15,14,1,5295
2021-07-03,제주,2,2,0,1274
