기준일,지역명,당일확진자,지역확진,해외확진,누적확진자
20210713,검역,19,0,19,4593
20210713,제주,21,21,0,1433
20210713,경남,89,87,2,5661
20210713,경북,22,19,3,5085
20210713,전남,6,6,0,1744
20210713,전북,9,9,0,2463
20210713,충남,36,36,0,4218
20210713,충북,10,9,1,3416
20210713,강원,16,15,1,3770
20210713,경기,465,453,12,48636
20210713,세종,6,6,0,617
20210713,울산,11,11,0,2959
20210713,대전,41,41,0,3046
20210713,광주,15,15,0,3062
20210713,인천,96,93,3,7495
20210713,대구,52,52,0,10850
20210713,부산,63,62,1,6810
20210713,서울,638,633,5,56053
20210713,합계,1615,1568,47,171911
20210712,검역,29,0,29,4574
20210712,제주,19,19,0,1412
20210712,경남,51,49,2,5572
20210712,경북,8,8,0,5063
20210712,전남,13,13,0,1738
20210712,전북,18,18,0,2454
20210712,충남,36,32,4,4182
20210712,충북,8,7,1,3406
20210712,강원,19,19,0,3754
20210712,경기,318,313,5,48171
20210712,세종,8,8,0,611
20210712,울산,7,7,0,2948
20210712,대전,31,31,0,3005
20210712,광주,9,9,0,3047
20210712,인천,71,67,4,7399
20210712,대구,38,36,2,10798
20210712,부산,50,47,3,6747
20210712,서울,417,414,3,55415
20210712,합계,1150,1097,53,170296
20210711,검역,20,0,20,4545
20210711,제주,7,7,0,1393
20210711,경남,40,40,0,5521
20210711,경북,13,12,1,5055
20210711,전남,19,19,0,1725
20210711,전북,4,4,0,2436
20210711,충남,45,43,2,4146
20210711,충북,14,13,1,3398
20210711,강원,18,18,0,3735
20210711,경기,327,322,5,47853
20210711,세종,6,6,0,603
20210711,울산,8,8,0,2941
20210711,대전,25,25,0,2974
20210711,광주,14,13,1,3038
20210711,인천,56,51,5,7328
20210711,대구,37,37,0,10760
20210711,부산,44,43,1,6697
20210711,서울,403,402,1,54998
20210711,합계,1100,1063,37,169146
20210710,검역,12,0,12,4525
20210710,제주,24,24,0,1386
20210710,경남,67,63,4,5481
20210710,경북,12,10,2,5042
20210710,전남,6,5,1,1706
20210710,전북,2,2,0,2432
20210710,충남,32,31,1,4101
20210710,충북,8,7,1,3384
20210710,강원,20,20,0,3717
20210710,경기,407,399,8,47526
20210710,세종,3,3,0,597
20210710,울산,22,22,0,2933
20210710,대전,32,31,1,2949
20210710,광주,23,22,1,3024
20210710,인천,66,64,2,7272
20210710,대구,23,23,0,10723
20210710,부산,56,53,3,6653
20210710,서울,509,501,8,54595
20210710,합계,1324,1280,44,168046
20210709,검역,21,0,21,4513
20210709,제주,10,10,0,1362
20210709,경남,36,36,0,5414
20210709,경북,13,9,4,5030
20210709,전남,2,2,0,1700
20210709,전북,14,14,0,2430
20210709,충남,29,28,1,4069
20210709,충북,19,18,1,3376
20210709,강원,16,15,1,3697
20210709,경기,451,441,10,47119
20210709,세종,0,0,0,594
20210709,울산,30,29,1,2911
20210709,대전,48,47,1,2917
20210709,광주,21,20,1,3001
20210709,인천,84,79,5,7206
20210709,대구,14,12,2,10700
20210709,부산,61,59,2,6597
20210709,서울,509,501,8,54086
20210709,합계,1378,1320,58,166722
20210708,검역,39,0,39,4492
20210708,제주,31,30,1,1352
20210708,경남,17,17,0,5378
20210708,경북,9,9,0,5017
20210708,전남,5,5,0,1698
20210708,전북,8,8,0,2416
20210708,충남,52,51,1,4040
20210708,충북,14,13,1,3357
20210708,강원,24,23,1,3681
20210708,경기,405,396,9,46668
20210708,세종,1,1,0,594
20210708,울산,16,16,0,2881
20210708,대전,29,28,1,2869
20210708,광주,4,3,1,2980
20210708,인천,82,72,10,7122
20210708,대구,19,16,3,10686
20210708,부산,58,53,5,6536
20210708,서울,503,495,8,53577
20210708,합계,1316,1236,80,165344
20210707,검역,25,0,25,4453
20210707,제주,17,17,0,1321
20210707,경남,10,7,3,5361
20210707,경북,4,4,0,5008
20210707,전남,9,7,2,1693
20210707,전북,3,3,0,2408
20210707,충남,78,77,1,3988
20210707,충북,8,8,0,3343
20210707,강원,16,15,1,3657
20210707,경기,392,388,4,46263
20210707,세종,5,4,1,593
20210707,울산,9,8,1,2865
20210707,대전,13,12,1,2840
20210707,광주,2,2,0,2976
20210707,인천,64,61,3,7040
20210707,대구,15,14,1,10667
20210707,부산,55,55,0,6478
20210707,서울,550,545,5,53074
20210707,합계,1275,1227,48,164028
20210706,검역,20,0,20,4428
20210706,제주,19,18,1,1304
20210706,경남,15,15,0,5351
20210706,경북,6,4,2,5004
20210706,전남,10,10,0,1684
20210706,전북,8,8,0,2405
20210706,충남,16,16,0,3910
20210706,충북,5,5,0,3335
20210706,강원,12,12,0,3641
20210706,경기,367,357,10,45871
20210706,세종,5,5,0,588
20210706,울산,1,1,0,2856
20210706,대전,30,29,1,2827
20210706,광주,11,10,1,2974
20210706,인천,57,56,1,6976
20210706,대구,13,12,1,10652
20210706,부산,34,33,1,6423
20210706,서울,583,577,6,52524
20210706,합계,1212,1168,44,162753
20210705,검역,30,0,30,4408
20210705,제주,5,4,1,1285
20210705,경남,19,17,2,5336
20210705,경북,11,11,0,4998
20210705,전남,4,4,0,1674
20210705,전북,6,6,0,2397
20210705,충남,13,11,2,3894
20210705,충북,2,2,0,3330
20210705,강원,9,6,3,3629
20210705,경기,229,224,5,45504
20210705,세종,5,5,0,583
20210705,울산,3,3,0,2855
20210705,대전,26,26,0,2797
20210705,광주,4,4,0,2963
20210705,인천,23,20,3,6919
20210705,대구,8,7,1,10639
20210705,부산,29,27,2,6389
20210705,서울,320,313,7,51941
20210705,합계,746,690,56,161541
20210704,검역,25,0,25,4378
20210704,제주,6,5,1,1280
20210704,경남,22,20,2,5317
20210704,경북,13,10,3,4987
20210704,전남,6,3,3,1670
20210704,전북,6,6,0,2391
20210704,충남,12,10,2,3881
20210704,충북,3,3,0,3328
20210704,강원,7,7,0,3620
20210704,경기,220,210,10,45275
20210704,세종,4,4,0,578
20210704,울산,1,1,0,2852
20210704,대전,19,18,1,2771
20210704,광주,7,6,1,2959
20210704,인천,22,16,6,6896
20210704,대구,6,4,2,10631
20210704,부산,25,20,5,6360
20210704,서울,307,301,6,51621
20210704,합계,711,644,67,160795
20210703,검역,50,0,50,4353
20210703,제주,2,2,0,1274
20210703,경남,15,14,1,5295
20210703,경북,9,8,1,4974
20210703,전남,0,0,0,1664
20210703,전북,3,2,1,2385
20210703,충남,7,7,0,3869
20210703,충북,2,2,0,3325
20210703,강원,19,11,8,3613
20210703,경기,231,227,4,45055
20210703,세종,4,4,0,574
20210703,울산,13,10,3,2851
20210703,대전,32,32,0,2752
20210703,광주,3,1,2,2952
20210703,인천,33,28,5,6874
20210703,대구,3,2,1,10625
20210703,부산,28,26,2,6335
20210703,서울,289,286,3,51314
20210703,합계,743,662,81,160084
20210702,검역,23,0,23,4303
20210702,제주,4,4,0,1272
20210702,경남,10,8,2,5280
20210702,경북,4,3,1,4965
20210702,전남,7,6,1,1664
20210702,전북,4,4,0,2382
20210702,충남,16,16,0,3862
20210702,충북,6,5,1,3323
20210702,강원,11,11,0,3594
20210702,경기,252,247,5,44824
20210702,세종,3,3,0,570
20210702,울산,1,0,1,2838
20210702,대전,28,28,0,2720
20210702,광주,3,3,0,2949
20210702,인천,16,14,2,6841
20210702,대구,8,8,0,10622
20210702,부산,39,35,4,6307
20210702,서울,359,353,6,51026
20210702,합계,794,748,46,159342
20210701,검역,33,0,33,4280
20210701,제주,3,3,0,1268
20210701,경남,13,12,1,5270
20210701,경북,7,7,0,4961
20210701,전남,4,4,0,1657
20210701,전북,7,7,0,2378
20210701,충남,27,27,0,3846
20210701,충북,7,7,0,3317
20210701,강원,14,7,7,3583
20210701,경기,264,260,4,44572
20210701,세종,2,2,0,567
20210701,울산,11,10,1,2837
20210701,대전,25,25,0,2692
20210701,광주,2,2,0,2946
20210701,인천,22,22,0,6825
20210701,대구,9,8,1,10614
20210701,부산,29,25,4,6268
20210701,서울,347,337,10,50667
20210701,합계,826,765,61,158548
20210630,검역,31,0,31,4247
20210630,제주,1,1,0,1265
