기준일,구분,누적확진자수,누적사망자수,당일확진자수
2021-07-01,80 이상,5901,1101,5
2021-07-01,70-79,10336,578,14
2021-07-01,60-69,23120,243,51
2021-07-01,50-59,28874,73,114
2021-07-01,40-49,24363,15,138
2021-07-01,30-39,22204,8,156
2021-07-01,20-29,24313,3,170
2021-07-01,10-19,11422,0,78
2021-07-01,0-9,7189,0,35
2021-07-02,0-9,7237,0,48
2021-07-02,10-19,11496,0,74
2021-07-02,20-29,24517,3,204
2021-07-02,30-39,22340,8,136
2021-07-02,50-59,29018,73,144
2021-07-02,60-69,23172,243,52
2021-07-02,70-79,10344,580,8
2021-07-02,80 이상,5903,1102,2
2021-07-02,40-49,24521,15,158
2021-07-03,0-9,7285,0,48
2021-07-03,10-19,11595,0,99
2021-07-03,20-29,24728,3,211
2021-07-03,30-39,22478,8,138
2021-07-03,40-49,24664,15,143
2021-07-03,60-69,23218,243,46
2021-07-03,70-79,10353,580,9
2021-07-03,80 이상,5903,1103,0
2021-07-03,50-59,29118,73,100
2021-07-04,0-9,7312,0,27
2021-07-04,10-19,11674,0,79
2021-07-04,20-29,24899,3,171
2021-07-04,30-39,22589,8,111
2021-07-04,50-59,29240,73,122
2021-07-04,60-69,23275,243,57
2021-07-04,40-49,24822,15,158
2021-07-04,80 이상,5910,1103,7
2021-07-04,70-79,10363,581,10
2021-07-05,80 이상,5919,1105,9
2021-07-05,70-79,10367,581,4
2021-07-05,60-69,23308,243,33
2021-07-05,50-59,29369,73,129
2021-07-05,40-49,24955,15,133
2021-07-05,30-39,22718,8,129
2021-07-05,20-29,25058,3,159
2021-07-05,10-19,11746,0,72
2021-07-05,0-9,7355,0,43
2021-07-06,0-9,7397,0,42
2021-07-06,10-19,11820,0,74
2021-07-06,20-29,25229,3,171
2021-07-06,30-39,22846,8,128
2021-07-06,40-49,25103,15,148
2021-07-06,60-69,23346,244,38
2021-07-06,70-79,10381,582,14
2021-07-06,80 이상,5926,1107,7
2021-07-06,50-59,29493,73,124
2021-07-07,80 이상,5932,1107,6
2021-07-07,70-79,10401,582,20
2021-07-07,60-69,23408,245,62
2021-07-07,50-59,29687,73,194
2021-07-07,40-49,25330,15,227
2021-07-07,30-39,23060,8,214
2021-07-07,20-29,25564,3,335
2021-07-07,10-19,11941,0,121
2021-07-07,0-9,7430,0,33
2021-07-08,80 이상,5936,1107,4
2021-07-08,60-69,23470,245,62
2021-07-08,50-59,29901,73,214
2021-07-08,40-49,25549,15,219
2021-07-08,30-39,23287,8,227
2021-07-08,20-29,25916,3,352
2021-07-08,10-19,12060,0,119
2021-07-08,0-9,7487,0,57
2021-07-08,70-79,10422,583,21
2021-07-09,0-9,7553,0,66
2021-07-09,10-19,12193,0,133
2021-07-09,20-29,26239,3,323
2021-07-09,30-39,23525,8,238
2021-07-09,50-59,30123,73,222
2021-07-09,60-69,23547,245,77
2021-07-09,70-79,10437,583,15
2021-07-09,80 이상,5943,1109,7
2021-07-09,40-49,25784,15,235
2021-07-10,20-29,26559,3,320
2021-07-10,0-9,7606,0,53
2021-07-10,10-19,12340,0,147
2021-07-10,30-39,23755,8,230
2021-07-10,50-59,30367,73,244
2021-07-10,60-69,23626,246,79
2021-07-10,70-79,10464,584,27
2021-07-10,40-49,26041,15,257
2021-07-10,80 이상,5964,1109,21
2021-07-11,30-39,23998,8,243
2021-07-11,80 이상,5970,1112,6
2021-07-11,70-79,10488,584,24
2021-07-11,60-69,23694,248,68
2021-07-11,50-59,30607,73,240
2021-07-11,40-49,26276,15,235
2021-07-11,20-29,26882,3,323
2021-07-11,10-19,12468,0,128
2021-07-11,0-9,7663,0,57
2021-07-12,10-19,12576,0,108
2021-07-12,20-29,27157,3,275
2021-07-12,0-9,7728,0,65
2021-07-12,30-39,24167,8,169
2021-07-12,70-79,10506,584,18
2021-07-12,50-59,30827,73,220
2021-07-12,60-69,23744,249,50
2021-07-12,80 이상,5977,1112,7
2021-07-12,40-49,26464,15,188
2021-07-13,0-9,7815,0,87
2021-07-13,10-19,12681,0,105
2021-07-13,20-29,27450,3,293
2021-07-13,30-39,24376,8,209
2021-07-13,50-59,31001,74,174
2021-07-13,60-69,23802,249,58
2021-07-13,70-79,10521,584,15
2021-07-13,80 이상,5980,1113,3
2021-07-13,40-49,26670,15,206
2021-07-14,0-9,7893,0,78
2021-07-14,10-19,12860,0,179
2021-07-14,20-29,27877,3,427
2021-07-14,30-39,24683,8,307
2021-07-14,50-59,31244,74,243
2021-07-14,60-69,23876,250,74
2021-07-14,70-79,10542,584,21
2021-07-14,80 이상,5987,1114,7
2021-07-14,40-49,26949,15,279
2021-07-15,80 이상,5999,1114,12
2021-07-15,70-79,10561,584,19
2021-07-15,60-69,23965,251,89
2021-07-15,50-59,31483,75,239
2021-07-15,40-49,27241,15,292
2021-07-15,30-39,24986,8,303
2021-07-15,20-29,28265,3,388
2021-07-15,10-19,13015,0,155
2021-07-15,0-9,7996,0,103
